article,pub_date,nltk_score,source
La Jornada: Estudian elevar fondo de rescate de la eurozona,2012-02-01,"Dpa

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 35",Jornada
"La Jornada: Alza temporal de la inflación por la desaceleración global, prevé el BdeM",2012-02-01,"Notimex

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 32

El Banco de México (BdeM) informó que estará pendiente de la evolución que muestre la inflación y de sus expectativas, y de ser necesario ajustará su política monetaria.

En su Programa monetario para 2012, el instituto central ratificó su compromiso de alcanzar el objetivo permanente de 3 por ciento de inflación y así cumplir con el mandato constitucional de procurar la estabilidad del poder adquisitivo de la moneda.

Comentó que en fecha reciente la economía ha transitado por un entorno externo menos favorable para el crecimiento, debido a la desaceleración en el ritmo de la actividad económica global.

El costo de ajuste a este nuevo entorno será menor en la medida en que se mantenga una depreciación del tipo de cambio real, expuso en el documento enviado al Ejecutivo federal y al Congreso de la Unión, en cumplimiento al artículo 51 de la Ley del Banco de México.

No obstante, el aumento en el precio relativo de las mercancías respecto de los servicios se espera que se vea reflejado solamente en un aumento temporal en la inflación de las mercancías.",Jornada
"La Jornada: Miente la OCDE sobre costos y calidad de telecomunicaciones en México, dice Slim",2012-02-01,"El empresario Carlos Slim hizo ayer una fe de erratas al documento de la OCDE sobre el mercado de telecomunicaciones en México, el que según el organismo internacional es caro y malo . Lo acompañan su hijo Carlos Slim Domit (centro) y Arturo Elías Ayub Foto Roberto García Ortiz

Míriam Posada García

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 36

El empresario Carlos Slim hizo una fe de erratas al documento presentado el lunes por la Organización para la Cooperación y el Desarrollo Económicos (OCDE), al negar que los servicios de telecomunicaciones en México sean caros y malos, y que haya baja penetración en banda ancha por culpa de Teléfonos de México (Telmex) y Telcel.

Rechazó que sus empresas sean monopolio, porque hay más operadores en el país; que haya concentración y que ello represente a los mexicanos un costo de 25 mil millones de dólares anualmente, si Telmex y Telcel venden al año 17 mil millones. No sé qué modelo usaron; son cifras atrasadas que no pueden utilizarse en un sector tan dinámico , dijo, por lo que aseguró que la OCDE miente.

Aclaró que a él no le interesa entrar al negocio de televisión abierta, pero sí a la de paga, por lo que ya cumplió todos los requisitos del Acuerdo de Convergencia de 2006. Advirtió que no admitirá más condiciones ni que un organismo como la OCDE intervenga en un acuerdo con el Estado mexicano, ante lo que reclamó certidumbre jurídica y que en el país haya reguladores fuertes que de verdad promuevan la competencia.

Criticó que el estudio de la OCDE sobre Políticas y regulación de telecomunicaciones en México haya sido elaborado por encargo y pagado por el gobierno mexicano: no sabía que la OCDE hace esto, y no sé si es normal . Sin llamarlo por su nombre, descalificó la actuación del director del organismo internacional y ex secretario de Hacienda, José Angel Gurría, al señalar que algunas personas que encabezan la OCDE vienen al país a pontificar y luego se van, pero cuando tuvieron responsabilidades en México no las cumplieron .

Slim desmenuzó las recomendaciones hechas por el organismo al gobierno mexicano para aplicarlas en el sector de telecomunicaciones, y avaló algunas de las acciones que anunció el titular de la Secretaría de Comunicaciones y Transportes, Dionisio Pérez-Jácome, con miras a promover la competencia en el sector.

No sé si resuelvan , pero es necesario que se abra el sector a la inversión foránea; de hecho, ya está abierto, y el ejemplo es Telefónica, que es una empresa 100 por ciento extranjera, pero le dan la vuelta mediante la inversión neutra, por eso deben poner las cosas claras en la ley. En Telmex y Telcel no le tienen miedo a la competencia , advirtió.

Ante esto, dijo que le parece bien la alianza entre Televisa y Iusacell: ahí lo importante es que inviertan, aunque no sé muy bien cómo queda la relación, porque Televisa tiene operación importante en televisión de paga y Iusacell da cuádruple play, pero ese es problema de los reguladores .

Advirtió que en lugar de atender un estudio con tantas inconsistencias e incongruencias, lo que el gobierno mexicano debe hacer es pedir a todos los que ya están en el mercado y a los que vengan que inviertan mucho, y que cuando haya nuevas concesiones se den con compromisos de inversión y cobertura, que no se otorguen graciosamente .",Jornada
La Jornada: Renuncia Miguel Torruco a la CNT,2012-02-01,"Juan Carlos Miranda

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 34

El presidente de la Confederación Nacional Turística (CNT), Miguel Torruco Marqués, presentó su renuncia al organismo luego de ser invitado por el precandidato a la Presidencia de la República por la Coalición Movimiento Progresista, Andrés Manuel López Obrador, para ocupar la Secretaría de Turismo, en caso de salir electo como presidente de México en la próxima contienda electoral de julio de este año.

En un comunicado, Torruco Marqués dijo sentirse honrado de que uno de los candidatos a la Presidencia de la República lo haya distinguido con esa invitación –en caso de salir electo– para encabezar con él la transformación del actual modelo de desarrollo turístico.

Consideró que dicha tarea es urgente porque México ha perdido posiciones de manera drástica en el ámbito internacional en captación de divisas turísticas.",Jornada
"La Jornada: La apertura, signo de debilidad del gobierno de Calderón: legisladores",2012-02-01,"Roberto Garduño, Víctor Ballinas, Alma E. Muñoz, Georgina Saldierna y Andrea Becerril, enviada

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 36

La pretensión gubernamental de aumentar a 100 por ciento la participación del capital extranjero en el sector de telecomunicaciones recibió críticas y oposición inmediata de actores políticos, y fue calificada como un signo de debilidad del gobierno de Felipe Calderón. Hasta el diputado panista Carlos Alberto Pérez Cuevas consideró necesario revisar la propuesta .

Las telecomunicaciones –dijo– son un área estratégica en la economía del país. En principio, se tiene que explorar la posibilidad. No podemos manejarnos sobre temas tabú si queremos construir una economía competitiva. Asimismo, resaltó que en toda legislación sobre el tema se debe cuidar la sana competencia y que gane el consumidor.

Esa intención demuestra la vergonzosa dependencia de Felipe Calderón al capital trasnacional o del gobierno de Estados Unidos, afirmo Mauricio Toledo, integrante de la Comisión de Radio y Televisión de la Cámara de Diputados, quien expuso que el anuncio del secretario de Comunicaciones y Transportes, Dionisio Pérez-Jácome, deberá ser cuestionado por todos los sectores de la sociedad, porque “hipoteca, en un capítulo más, la soberanía nacional, al poner en manos de extranjeros bienes fundamentales, como son las señales radioeléctricas, que por ley deben pertenecer al Estado.",Jornada
La Jornada: Pone S&P a bancos españoles en la mira,2012-02-01,"Reuters

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 35",Jornada
"La Jornada: Abrir 100% a extranjeros las telecomunicaciones, meta de este gobierno, señala la SCT",2012-02-01,"Dionisio Pérez-Jácome, titular de la Secretaría de Comunicaciones y Transportes, durante la conferencia de prensa de ayer para anunciar el proyecto del gobierno federal de abrir 100 por ciento a capitales extranjeros las telecomunicaciones Foto Cristina Rodríguez

Roberto González Amador

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 36

El gobierno federal busca que inversionistas extranjeros participen hasta con 100 por ciento del capital en empresas de telecomunicaciones, sector que va desde la televisión abierta y de paga, pasa por los servicios de telefonía fija y móvil, a la radiodifusión y el Internet, y ahora está reservado mayoritariamente a empresarios nacionales.

Estamos dialogando con legisladores para que se avance en este sentido antes de que concluya la actual administración, anunció este martes Dionisio Pérez-Jácome Friscione, titular de la Secretaría de Comunicaciones y Transportes (SCT).

La intención de abrir en su totalidad el sector de las telecomunicaciones al capital privado extranjero forma parte de una serie de acciones para buscar mayor competencia en esta rama, ampliar la oferta de servicios a los usuarios y llevar las tecnologías de la información y la comunicación a cada vez más comunidades, incluidas aquellas geográficamente remotas de los centros urbanos y semiurbanos, añadió el funcionario en una conferencia de prensa.

El gobierno federal busca que se hagan adecuaciones al marco legal para mejorar las condiciones de competencia, expuso. Una de ellas –anticipó– es permitir hasta 100 por ciento de capital extranjero en el sector de telecomunicaciones.

En la telefonía móvil ya se permite 100 por ciento de inversión extranjera y en el resto hay una limitación hasta de 49 por ciento. Es benéfico para la competencia incrementar ese límite a 100 por ciento , declaró.",Jornada
La Jornada: Med Atlántica garantiza 300 millones de dólares para capitalizar Mexicana,2012-02-01,"Trabajadores de Mexicana marcharon ayer junto con otros gremios de la Unión Nacional de Trabajadores (UNT) y organizaciones campesinas, como la CNC, del Ángel de la Independencia a Zócalo capitalino Foto Francisco Olvera

Alfredo Méndez, Patricia Muñoz y Roberto González

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 33

El juez federal Felipe Consuelo Soto, encargado del concurso mercantil de Mexicana de Aviación, notificó este martes que el grupo de inversionistas que integran Med Atlántica ya depositó en un banco mexicano la garantía que avala los 300 millones de dólares para capitalizar la aerolínea.

Anoche el juez señaló que con este depósito se evitó la quiebra de la aerolínea y consideró que el litigio podría terminar en marzo

A su vez, los gremios de pilotos, sobrecargos y personal de tierra de Mexicana de Aviación dijeron estar listos para regresar a trabajar de inmediato y declararon que esperan que el gobierno federal no ponga trabas para que se concrete esta inversión que permita restructurar la aerolínea.

Según la Asociación Sindical de Sobrecargos de Aviación (ASSA), el juez ya instruyó a la Secretaría de Comunicaciones y Transportes para que si se cumple con los trámites necesarios y los requisitos legales, también se otorgue a ese gremio el certificado de navegador.

Representantes de ASSA señalaron que el optimismo de que ahora sí se concretará la inversión es porque el principal representante del Grupo Med Atlántica es Christian Cadena, el cual participa en el ramo hotelero en España con la franquicia de hoteles Blue Bay.

El inversionista ha demostrado que cuenta con los recursos necesarios para restructurar Mexicana de Aviación; cumplió con los requisitos, hizo la transferencia de dólares a un fideicomiso aperturado en la banca mexicana, abierto ex profeso para realizar la operación. Así pues, logró dar garantías, de tal forma que el juez ya instruyó realizar el convenio , indicaron sobrecargos.

La intención, agregó este gremio, es que antes del 10 de febrero esté resuelta la parte de los trámites de rigor, tanto en la SCT como con el conciliador y la parte operativa, para que regresen al aire los aviones de Mexicana.

De su lado, el juez Soto, quien fue entrevistado ayer por diversos noticieros radiofónicos, señaló que Med Atlántica cuenta con los recursos solicitados por la SCT para entrar en las negociaciones.",Jornada
La Jornada: Cierra la policía el portal de intercambios más popular de Ucrania,2012-02-01,"Reuters y Dpa

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 36",Jornada
La Jornada: Cordero y Creel atacan; Vázquez Mota los evade,2012-02-01,"Georgina Saldierna y Alma E. Muñoz

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 5

En el segundo debate de los precandidatos del PAN a la Presidencia de la República, Ernesto Cordero y Santiago Creel enfocaron sus baterías en contra de Josefina Vázquez Mota, quien de nueva cuenta evadió a sus contendientes y sólo en una ocasión respondió retomando las palabras elogiosas que para ella tuvo el presidente Felipe Calderón, cuando dejó la coordinación de los diputados federales panistas.

De esa manera, la ex secretaria de Educación se convirtió al interior del PAN en la precandidata a vencer, mientras al exterior los tres aspirantes ubicaron al priísta Enrique Peña Nieto como el enemigo a derrotar rumbo a los comicios de julio.

Pese a que tuvo un formato más ágil, que permitió réplicas y contrarréplicas, el debate fue reiterativo en cuanto a las propuestas. Lo único que lo salvó de convertirse en mera propaganda política fue la coincidencia de Creel y Cordero en contra de Vázquez Mota.

A las 7 de la noche, en el comedor de la sede nacional panista, el presidente de la Comisión Nacional de Elecciones, José Espina, sorteó los turnos de participación en el encuentro. El ex secretario de Hacienda obtuvo el primer lugar, el ex titular de Gobernación el segundo y la diputada con licencia el tercero.

Mientras ello ocurría, a las afueras del edificio un grupo de ex trabajadores de Mexicana de Aviación volvieron a exigir dialogar con los precandidatos para encontrar una solución al conflicto que viven. Adentro, nadie los tomó en cuenta, a pesar de una ruidosa protesta y el despliegue de grandes mantas en las que llamaban a los transeúntes a no dar un solo voto al blanquiazul.

Apenas concluyó el sorteo, aparecieron ante las cámaras los precandidatos acompañados de sus principales colaboradores. El primero en entrar al auditorio donde a las 20 horas se inició el debate fue Creel acompañado por su esposa, Paulina Velasco, y el ex gobernador de Querétaro Ignacio Loyola, entre otros.

Diez minutos después arribó Cordero, quien ante una nube de fotógrafos y camarógrafos hizo la señal de la victoria con su mano derecha y exclamó: Ya casi, ya casi ganamos . Se destacó por acceder al recinto con los 13 acompañantes permitidos. Entre ellos su esposa, Cristina Keller; Max Cortázar, Juan Ignacio Zavala, Mariana Gómez del Campo y otros.

La última en entrar fue Vázquez Mota junto con Carlos Alberto Pérez Cuevas, Agustín Torres, Herminio Rebollo y Daniel Hernández. Su coordinador de precampaña, Roberto Gil, se incorporó más tarde, luego de presentar ante la Procuraduría General de la República la denuncia contra quien resulte responsable por espionaje e intervención telefónica.

La precandidata hizo tres apariciones ante los fotógrafos: la primera, cuando llegó; la segunda, al salir del auditorio para esperar la llegada de sus hijas y su esposo, Sergio Ocampo, y la tercera, cuando acompañada por Creel y Cordero se tomaron la foto al lado del dirigente nacional del PAN, Gustavo Madero, y de José Espina.

El debate comenzó puntual, con Leonardo Curzio como moderador. Desde el inicio, Cordero comenzó las críticas hacia Vázquez Mota, al mencionar que el candidato del PAN a la Presidencia no debe rehuir este tipo de ejercicios y poseer trayectoria probada. También, desde el inicio, el ex titular de Hacienda insistió en que él es quien tiene la experiencia suficiente para dirigir al país en un momento económico difícil.",Jornada
"La Jornada: Ombudsman: la legalidad, necesaria",2012-02-01,"Alfredo Méndez

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 22

Raúl Plascencia Villanueva, presidente de la Comisión Nacional de los Derechos Humanos (CNDH), sostuvo que con la finalidad de vencer la impunidad que lastima a la sociedad y corroe las instituciones públicas es necesario establecer la legalidad como plena realidad en la actividad de todos los servidores públicos.

En el acto de la firma del convenio de colaboración entre la CNDH y el Tribunal Federal de Justicia Fiscal y Administrativa, el ombudsman nacional refirió que el trabajo en conjunto favorece de manera positiva a la sociedad y provee instrumentos para cumplir con la obligación de promover los derechos humanos.",Jornada
La Jornada: Instan diputados del PRD a que SHCP emita informe sobre endeudamiento,2012-02-01,"De la Redacción

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 10

El Partido de la Revolución Democrática (PRD) en la Cámara de Diputados demandó a la Secretaría de Hacienda emita un informe sobre el endeudamiento público en los tres niveles de gobierno, con objeto de evitar que en el proceso electoral constitucional que se realizará de marzo a junio se destinen recursos públicos a las campañas electorales.

Esthela Damián, presidenta de la Comisión de Vigilancia, pidió a la autoridad federal comprometerse a entregar un informe mensual de cómo va evolucionando la deuda frente a la elección presidencial.",Jornada
La Jornada: Sedena da muestras claras de que no se subordinará al control civil: ONG,2012-02-01,"Víctor Ballinas

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 12

Más de un centenar de organizaciones defensoras de los derechos humanos manifestaron su preocupación por que la Secretaría de la Defensa Nacional (Sedena) haya impugnado la sentencia de amparo dictada por un juez federal para que la investigación del homicidio del indígena nahua Bonfilio Rubio Villegas –quien fue asesinado por militares el 20 de junio de 2009– sea trasladada del fuero militar a los tribunales civiles.

Organizaciones civiles y personalidades como John M. Ackerman, Miguel Concha Malo, Karlos Castilla, entre otros, subrayan que al interponer el recurso de revisión en el caso de la ejecución extrajudicial por militares en contra de Rubio Villegas, la Sedena mantiene su postura de defender el fuero militar a toda costa, en discordancia con la resolución histórica de la Suprema Corte de Justicia de la Nación en la que interpretó la obligatoriedad de las sentencias de la Corte Interamericana de Derechos Humanos contra el Estado mexicano, así como la restricción del fuero militar en casos de violaciones a derechos humanos de civiles .

Por su parte, el Centro de Derechos Humanos de la Montaña Tlachinollan recuerda que los hechos ocurrieron el 20 de junio de 2009, cuando Bonfilio Rubio Villegas fue asesinado por soldados del 93 batallón de Infantería del Ejército Mexicano, en un retén cerca de Huamaxtitlán, Guerrero.",Jornada
La Jornada: Inician las fiestas de la Virgen de la Candelaria Tlacotalpan Vive 2012,2012-02-01,"En la Cabalgata Tradicional se pudo ver desfilar a jóvenes, niños y señoritas vestidos con trajes típicos de Veracruz. Destacó la presencia de la actriz Edith González

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 14

Tlacotalpan, Ver., 31 de enero. Cerca de 700 parejas de niños, jóvenes y adultos participaron en la Cabalgata Tradicional, con la que dieron inicio formalmente las fiestas en honor a la Virgen de la Candelaria. Tlacotalpan Vive 2012.

Al asistir en representación del gobernador Javier Duarte de Ochoa, la titular de la Secretaría de Turismo, Cultura y Cinematografía, Leticia Perlasca Núñez, dijo que Tlacotalpan Vive 2012 será una fiesta en la que la seguridad, la convivencia familiar y el sano esparcimiento serán piezas fundamentales para disfrutar al máximo esta celebración.",Jornada
